time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_torque,hip_R_Joint_torque,thigh_L_Joint_torque,thigh_R_Joint_torque,knee_L_Joint_torque,knee_R_Joint_torque,wheel_L_Joint_torque,wheel_R_Joint_torque
1785745303.2095983,0.0111,-0.0111,-0.001,0.0039,-0.0018,0.0006,1.1236,-0.2355,0.0033,-0.0032,-0.0083,-0.0108,-0.0153,0.0242,-0.0092,0.0178,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
1785745303.214243,0.0111,-0.0111,-0.001,0.0039,-0.0018,0.0006,1.1236,-0.2355,0.0033,-0.0032,-0.0083,-0.0108,-0.0153,0.0242,-0.0092,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.2192495,0.0111,-0.0111,-0.001,0.0039,-0.0018,0.0006,1.1236,-0.2355,0.0033,-0.0032,-0.0083,-0.0108,-0.0153,0.0242,-0.0092,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.224329,0.0111,-0.0111,-0.001,0.0039,-0.0018,0.0006,1.1236,-0.2355,0.0033,-0.0032,-0.0083,-0.0108,-0.0153,0.0242,-0.0092,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.2291985,0.0111,-0.0111,-0.001,0.0039,-0.0018,0.0006,1.1236,-0.2355,0.0033,-0.0032,-0.0083,-0.0108,-0.0153,0.0242,-0.0092,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.2342534,0.0111,-0.0111,-0.001,0.0039,-0.0018,0.0006,1.1236,-0.2355,0.0033,-0.0032,-0.0083,-0.0108,-0.0153,0.0242,-0.0092,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.239235,0.0111,-0.0111,-0.0011,0.0039,-0.002,0.0008,1.1235,-0.2353,0.0055,-0.0051,-0.0136,-0.0058,-0.0255,0.0346,-0.0141,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.2442408,0.0112,-0.0112,-0.0012,0.0039,-0.0021,0.001,1.1234,-0.2352,0.0077,-0.007,-0.0188,-0.0009,-0.0356,0.0449,-0.0191,0.0286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.2492263,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.254341,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.2592633,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.264235,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.2693548,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.27424,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.2791908,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.284327,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.289246,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.2942061,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.2991967,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.3043213,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.3092532,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.3141918,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.319344,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.3242474,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.3293138,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.3342338,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.3393316,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785745303.344413,0.0112,-0.0112,-0.0013,0.0039,-0.0024,0.0013,1.1233,-0.235,0.0099,-0.0089,-0.0239,0.0039,-0.0455,0.0551,-0.0239,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
