time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_torque,hip_R_Joint_torque,thigh_L_Joint_torque,thigh_R_Joint_torque,knee_L_Joint_torque,knee_R_Joint_torque,wheel_L_Joint_torque,wheel_R_Joint_torque
1786168466.6249962,0.0111,-0.0111,-0.001,0.0039,-0.0017,0.0004,1.1236,-0.2356,-0.0001,-0.0001,0.0025,-0.0183,0.0,-0.0001,0.0001,0.0039,-0.03328999876976013,0.033309999853372574,1.5732500553131104,-1.5803700685501099,1.575600028038025,-1.5716900825500488,0.0,0.0
1786168466.6260636,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0001,0.0001,-0.0014,-0.0057,0.0,0.0001,-0.0004,0.0016,-0.033309999853372574,0.03328999876976013,1.573639988899231,-1.5813299417495728,1.575600028038025,-1.5717101097106934,0.0,0.0
1786168466.6268246,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,-0.0009,-0.0033,0.0,0.0,-0.0001,0.0005,-0.033299997448921204,0.033299997448921204,1.5735900402069092,-1.581570029258728,1.575600028038025,-1.571700096130371,0.0,0.0
1786168466.6312087,0.0111,-0.0111,0.0017,0.0011,0.0029,-0.0043,1.1243,-0.2362,0.0,0.0,0.5384,-0.5465,0.937,-0.9368,0.1259,-0.1243,-0.033299997448921204,0.033299997448921204,1.511560082435608,-1.5191501379013062,1.4681000709533691,-1.4639201164245605,0.0,0.0
1786168466.7210577,0.0111,-0.0111,0.0071,-0.0043,0.0123,-0.0136,1.1255,-0.2374,0.0,0.0,1.0765,-1.088,1.873,-1.8726,0.2517,-0.249,-0.033299997448921204,0.033299997448921204,1.4415501356124878,-1.4488000869750977,1.3463000059127808,-1.342440128326416,0.0,0.0
1786168466.728161,0.0111,-0.0111,0.0152,-0.0125,0.0263,-0.0277,1.1274,-0.2393,0.0,0.0,1.6132,-1.6281,2.8064,-2.8059,0.3772,-0.3734,-0.033299997448921204,0.033299997448921204,1.3635799884796143,-1.370190143585205,1.210960030555725,-1.2068099975585938,0.0,0.0
1786168466.7339644,0.0111,-0.0111,0.0257,-0.0232,0.0447,-0.0461,1.1299,-0.2417,0.0,0.0,2.1163,-2.1346,3.6787,-3.678,0.494,-0.489,-0.033299997448921204,0.033299997448921204,1.28177011013031,-1.2874401807785034,1.0685300827026367,-1.06440007686615,0.0,0.0
1786168466.7603066,0.0111,-0.0111,0.0386,-0.0362,0.0671,-0.0685,1.1329,-0.2447,0.0,0.0,2.581,-2.6026,4.4804,-4.4798,0.6006,-0.5946,-0.033299997448921204,0.033299997448921204,1.196600079536438,-1.2016401290893555,0.921160101890564,-0.9170200824737549,0.0,0.0
1786168466.7668324,0.0111,-0.0111,0.0537,-0.0513,0.0931,-0.0945,1.1364,-0.2481,0.0,0.0,3.0023,-3.027,5.2023,-5.2018,0.6958,-0.6889,-0.033299997448921204,0.033299997448921204,1.1091700792312622,-1.113900065422058,0.7709700465202332,-0.7668200731277466,0.0,0.0
1786168466.7723622,0.0111,-0.0111,0.0705,-0.0683,0.1223,-0.1237,1.1402,-0.252,0.0,0.0,3.3772,-3.4048,5.8387,-5.8384,0.7786,-0.7708,-0.033299997448921204,0.033299997448921204,1.02128005027771,-1.0251200199127197,0.6197301149368286,-0.6155601143836975,0.0,0.0
