time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_actual_torque,hip_R_Joint_actual_torque,thigh_L_Joint_actual_torque,thigh_R_Joint_actual_torque,knee_L_Joint_actual_torque,knee_R_Joint_actual_torque,wheel_L_Joint_actual_torque,wheel_R_Joint_actual_torque,hip_L_Joint_target_pos_rad
656319985330,0.0111,-0.0111,-0.001,0.0039,-0.0017,0.0004,1.1236,-0.2356,-1e-04,-1e-04,0.0025,-0.0182,0.0,-1e-04,1e-04,0.0039,-0.0412,0.0377,-0.0239,0.0536,0.0199,-0.0315,-0.0002,1e-04,-1.3239304097467652e-10
656324985329,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,1e-04,1e-04,-0.0014,-0.0056,0.0,1e-04,-0.0004,0.0016,-0.0445,0.0356,0.0294,0.109,-0.008,-0.0642,1e-04,0.0006,0.0025052288390633864
656329985329,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,-1e-04,-0.0002,0.0037,-0.0125,0.0,-0.0002,0.0003,0.0015,-0.0402,0.0365,-0.0376,0.0529,0.0262,-0.0306,-0.0002,0.0,0.005007159321335053
656334985329,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,-0.0005,-0.0016,0.0,0.0,-1e-04,-0.0003,-0.0469,0.034,0.02,0.0805,-0.0035,-0.0498,1e-04,0.0005,0.0075057227227339485
656339985329,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,0.0,-0.001,-0.0427,0.0356,-1e-04,0.051,0.007,-0.0325,0.0,0.0002,0.010000850543882278
656344985329,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.0427,0.0362,0.0064,0.0026,0.0039,-0.0086,0.0,0.0,0.012492474379590446
656349985329,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.0424,0.0364,0.0028,0.0045,0.0056,-0.0095,0.0,0.0,0.014980525920732318
656354985329,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.0427,0.0362,0.003,0.0045,0.0055,-0.0095,0.0,0.0,0.017464936956118116
656359985329,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.0425,0.0363,0.0028,0.0047,0.0056,-0.0096,0.0,0.0,0.019945639374364277
656364985329,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.0009,-0.0424,0.0364,0.003,0.0045,0.0055,-0.0095,0.0,0.0,0.02242256516576091
656369985328,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.0009,-0.0425,0.0363,0.0029,0.0047,0.0056,-0.0096,0.0,0.0,0.02489564642413622
656374985328,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.0009,-0.0425,0.0363,0.003,0.0045,0.0055,-0.0095,0.0,0.0,0.027364815348718236
656379985328,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0428,0.0361,0.003,0.0045,0.0055,-0.0095,0.0,0.0,0.029830004245993552
656384985328,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,-1e-04,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0417,0.0367,0.0029,0.0046,0.0056,-0.0096,0.0,0.0,0.03229114553156337
656389985328,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,-1e-04,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0418,0.0367,0.003,0.0046,0.0055,-0.0095,0.0,0.0,0.03474817173199607
656394985328,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0439,0.0358,0.0029,0.0047,0.0056,-0.0096,0.0,0.0,0.03720101548667715
656399985328,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0491,0.0309,0.0041,0.0029,0.005,-0.0087,0.0,0.0,0.03964960954965613
656404985328,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0414,0.0379,0.0038,0.0032,0.0052,-0.0089,0.0,0.0,0.04209388679148979
656409985328,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,-0.0003,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0351,0.0378,0.0035,0.004,0.0053,-0.0092,0.0,0.0,0.04453378020108287
656414985327,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0119,0.0076,0.0,0.0006,0.0,1e-04,-0.0003,-0.0009,0.0308,0.032,0.0026,0.0035,0.0054,-0.0093,0.0,0.0,0.046969222887525
656419985327,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0144,0.006,0.0,0.0005,0.0,1e-04,-0.0003,-0.0009,0.0416,0.0383,0.0042,0.0036,0.005,-0.009,0.0,0.0,0.04940014808192478
656424985327,0.0112,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0132,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0008,0.0501,0.0356,0.0052,0.0019,0.0047,-0.008,0.0,0.0,0.051826489139239845
656429985327,0.0113,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0181,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0008,0.0534,0.0361,0.0023,0.0051,0.0058,-0.0098,0.0,0.0,0.05424817954010466
656434985327,0.0114,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0233,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0008,0.06,0.036,0.0028,0.0048,0.0056,-0.0096,0.0,0.0,0.05666515289265345
656439985327,0.0116,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0289,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0008,0.0667,0.0359,0.0031,0.0043,0.0055,-0.0094,0.0,0.0,0.05907734293434086
656444985327,0.0117,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0347,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0008,0.0727,0.0359,0.0027,0.0047,0.0056,-0.0096,0.0,0.0,0.06148468353375841
656449985327,0.0119,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0408,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.0786,0.0359,0.003,0.0044,0.0055,-0.0095,0.0,0.0,0.06388710869244749
656454985327,0.0122,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0472,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.0843,0.036,0.0027,0.0048,0.0057,-0.0097,0.0,0.0,0.06628455254670879
656459985326,0.0125,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0539,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.0901,0.0359,0.0033,0.004,0.0054,-0.0093,0.0,0.0,0.06867694936940799
656464985326,0.0128,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0608,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.0956,0.0359,0.0025,0.0051,0.0058,-0.0098,0.0,0.0,0.07106423357177769
656469985326,0.0131,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0679,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.1008,0.0359,0.003,0.0044,0.0055,-0.0094,0.0,0.0,0.07344633970521555
656474985326,0.0135,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0753,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.1058,0.036,0.0029,0.0045,0.0055,-0.0095,0.0,0.0,0.07582320246307861
656479985326,0.0139,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2357,0.0829,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.1109,0.0358,0.0031,0.0043,0.0055,-0.0094,0.0,0.0,0.07819475668247369
656484985326,0.0143,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2357,0.0906,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.1159,0.0359,0.0029,0.0045,0.0056,-0.0095,0.0,0.0,0.08056093734604391
656489985326,0.0148,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1235,-0.2357,0.0986,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.1206,0.0359,0.0029,0.0045,0.0055,-0.0095,0.0,0.0,0.0829216795837511
656494985326,0.0154,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1235,-0.2357,0.1067,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.1252,0.0359,0.0028,0.0046,0.0056,-0.0096,0.0,0.0,0.08527691867465426
656499985326,0.016,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1235,-0.2357,0.115,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0008,0.1298,0.0359,0.003,0.0044,0.0055,-0.0094,0.0,0.0,0.087626590048684
656504985325,0.0166,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1235,-0.2357,0.1235,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0008,0.134,0.0359,0.0027,0.0048,0.0057,-0.0096,0.0,0.0,0.08997062928841268
656509985325,0.0172,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1235,-0.2357,0.1321,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0008,0.1379,0.0359,0.0031,0.0043,0.0055,-0.0094,0.0,0.0,0.09230897213082045
656514985325,0.0179,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1235,-0.2357,0.1408,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0008,0.1418,0.0359,0.0029,0.0046,0.0056,-0.0095,0.0,0.0,0.09464155446905709
656519985325,0.0187,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1235,-0.2357,0.1496,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0008,0.1456,0.0359,0.0029,0.0045,0.0055,-0.0095,0.0,0.0,0.0969683123541995
656524985325,0.0195,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1235,-0.2357,0.1585,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0008,0.1494,0.0359,0.0028,0.0046,0.0056,-0.0095,0.0,0.0,0.09928918199700484
656529985325,0.0203,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1235,-0.2357,0.1675,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0008,0.1529,0.0359,0.003,0.0044,0.0055,-0.0095,0.0,0.0,0.10160409976965959
656534985325,0.0212,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1235,-0.2357,0.1766,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0008,0.156,0.0359,0.0028,0.0046,0.0056,-0.0096,0.0,0.0,0.10391300220752359
656539985325,0.0221,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1235,-0.2357,0.1857,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0008,0.1592,0.0359,0.0029,0.0045,0.0055,-0.0095,0.0,0.0,0.10621582601087015
656544985325,0.0231,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1235,-0.2357,0.1949,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0008,0.1623,0.0359,0.0029,0.0045,0.0056,-0.0095,0.0,0.0,0.10851250804662144
