time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_actual_torque,hip_R_Joint_actual_torque,thigh_L_Joint_actual_torque,thigh_R_Joint_actual_torque,knee_L_Joint_actual_torque,knee_R_Joint_actual_torque,wheel_L_Joint_actual_torque,wheel_R_Joint_actual_torque,hip_L_Joint_target_pos_rad,hip_L_Joint_target_torque
759.719983018,0.0111,-0.0111,-0.001,0.0039,-0.0017,0.0004,1.1236,-0.2356,-1e-04,-1e-04,0.0025,-0.0182,0.0,-1e-04,1e-04,0.0039,-0.0412,0.0377,-0.0239,0.0536,0.0199,-0.0315,-0.0002,1e-04,2.4894116351648066e-09,0.0
759.724983018,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,1e-04,1e-04,-0.0014,-0.0056,0.0,1e-04,-0.0004,0.0016,-0.0445,0.0356,0.0294,0.109,-0.008,-0.0642,1e-04,0.0006,0.002004185719715737,-0.03328999
759.729983018,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,-1e-04,-0.0002,0.0037,-0.0125,0.0,-0.0002,0.0003,0.0015,-0.0402,0.0365,-0.0376,0.0529,0.0262,-0.0306,-0.0002,0.0,0.004005730158436013,-0.027297443
759.734983018,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,-0.0005,-0.0016,0.0,0.0,-1e-04,-0.0003,-0.0469,0.034,0.02,0.0805,-0.0035,-0.0498,1e-04,0.0005,0.006004580932220616,-0.021272808
759.739983018,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,0.0,-0.001,-0.0427,0.0356,-1e-04,0.0512,0.0071,-0.0326,0.0,0.0002,0.008000683241565845,-0.015286257
759.744983018,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.0428,0.0361,0.0071,0.0016,0.0036,-0.0081,0.0,0.0,0.009993982362318576,-0.009297949
759.749983018,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.0009,-0.0425,0.0363,0.0027,0.0046,0.0057,-0.0095,0.0,0.0,0.011984423647176529,-0.0033180523
759.754983018,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.0009,-0.0426,0.0363,0.003,0.0045,0.0055,-0.0095,0.0,0.0,0.013971952527186388,0.0026532717
759.759983018,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.0009,-0.0427,0.0362,0.0028,0.0047,0.0056,-0.0096,0.0,0.0,0.01595651451323994,0.008615858
759.764983017,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.0009,-0.0425,0.0363,0.0031,0.0044,0.0055,-0.0095,0.0,0.0,0.017938055197567818,0.014569544
