time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_torque,hip_R_Joint_torque,thigh_L_Joint_torque,thigh_R_Joint_torque,knee_L_Joint_torque,knee_R_Joint_torque,wheel_L_Joint_torque,wheel_R_Joint_torque
1786166403.51831,0.0111,-0.0111,-0.001,0.0039,-0.0017,0.0005,1.1236,-0.2355,0.0033,-0.0031,-0.0009,-0.0184,-0.0005,0.0091,0.0,0.0078,-0.033629998564720154,0.03360999748110771,1.5735900402069092,-1.5803600549697876,1.5756499767303467,-1.572910189628601,0.0,0.0
1786166403.5192919,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0005,1.1236,-0.2355,0.0054,-0.005,-0.0025,-0.0172,-0.0034,0.0121,-0.0004,0.0084,-0.03384000062942505,0.033799998462200165,1.5737500190734863,-1.580180048942566,1.5759400129318237,-1.5732101202011108,0.0,0.0
1786166403.5203564,0.0112,-0.0112,-0.001,0.0037,-0.0018,0.0006,1.1236,-0.2354,0.0075,-0.0069,-0.004,-0.0159,-0.0063,0.0151,-0.0008,0.0089,-0.03435000032186508,0.034289997071027756,1.5738999843597412,-1.580010175704956,1.5765300989151,-1.5738099813461304,0.0,0.0
1786166403.522994,0.0112,-0.0112,0.0017,0.0008,0.003,-0.0042,1.1243,-0.236,0.0082,-0.0072,0.5525,-0.576,0.9618,-0.9531,0.1293,-0.1201,-0.03441999852657318,0.03432000055909157,1.5101500749588013,-1.5153001546859741,1.4653199911117554,-1.4625900983810425,0.0,0.0
1786166403.6070328,0.0113,-0.0112,0.0073,-0.0049,0.0127,-0.0138,1.1256,-0.2373,0.009,-0.0076,1.1084,-1.1354,1.9288,-1.9201,0.2593,-0.249,-0.03480000048875809,0.034359999001026154,1.4377599954605103,-1.4422601461410522,1.33951997756958,-1.337090015411377,0.0,0.0
1786166403.6122344,0.0113,-0.0113,0.0156,-0.0133,0.0271,-0.0282,1.1275,-0.2392,0.01,-0.0083,1.6629,-1.6934,2.8934,-2.8848,0.389,-0.3776,-0.03490000218153,0.03473000228404999,1.357409954071045,-1.3612600564956665,1.1998600959777832,-1.1974201202392578,0.0,0.0
1786166403.6172159,0.0114,-0.0113,0.0265,-0.0244,0.0461,-0.0471,1.1301,-0.2417,0.0113,-0.0092,2.1829,-2.2167,3.7948,-3.7861,0.5097,-0.4972,-0.03533000126481056,0.03482000157237053,1.2727100849151611,-1.2756301164627075,1.052720069885254,-1.0505900382995605,0.0,0.0
1786166403.6383126,0.0114,-0.0114,0.0398,-0.0379,0.0692,-0.0702,1.1332,-0.2447,0.0129,-0.0105,2.6631,-2.7001,4.6232,-4.6147,0.6199,-0.6065,-0.0354899987578392,0.03525000065565109,1.1847901344299316,-1.186790108680725,0.9005800485610962,-0.8984301090240479,0.0,0.0
1786166403.6435022,0.0115,-0.0114,0.0553,-0.0536,0.0961,-0.097,1.1368,-0.2482,0.015,-0.0123,3.0984,-3.1385,5.3691,-5.361,0.7182,-0.7039,-0.035999998450279236,0.035429999232292175,1.0947600603103638,-1.0958499908447266,0.7452900409698486,-0.7434000372886658,0.0,0.0
1786166403.64989,0.0116,-0.0115,0.0728,-0.0713,0.1262,-0.1271,1.1408,-0.2522,0.0176,-0.0144,3.4856,-3.5288,6.0264,-6.0189,0.8037,-0.7887,-0.036559998989105225,0.03593999892473221,1.0035400390625,-1.0037200450897217,0.5892599821090698,-0.5873101353645325,0.0,0.0
1786166403.6547673,0.0117,-0.0116,0.0919,-0.0906,0.1592,-0.16,1.1452,-0.2565,0.0205,-0.017,3.8224,-3.8685,6.5903,-6.5837,0.8757,-0.86,-0.03714999929070473,0.0364999994635582,0.9125601053237915,-0.9118500351905823,0.43387001752853394,-0.4321300685405731,0.0,0.0
1786166403.6755211,0.0118,-0.0117,0.1124,-0.1114,0.1945,-0.1953,1.1498,-0.2611,0.0238,-0.0199,4.1068,-4.156,7.0573,-7.052,0.9336,-0.9174,-0.037780001759529114,0.0370899997651577,0.8226200938224792,-0.8207000494003296,0.2812700569629669,-0.279400110244751,0.0,0.0
1786166403.6809056,0.012,-0.0118,0.1341,-0.1333,0.2316,-0.2324,1.1547,-0.2659,0.0273,-0.0231,4.3382,-4.3903,7.4258,-7.4222,0.9772,-0.9606,-0.03872999921441078,0.037709999829530716,0.7343800067901611,-0.7315700650215149,0.13312013447284698,-0.13108006119728088,0.0,0.0
1786166403.6868382,0.0121,-0.0119,0.1567,-0.1562,0.2701,-0.2709,1.1597,-0.2708,0.031,-0.0264,4.5166,-4.5717,7.6957,-7.6943,1.0064,-0.9896,-0.039400000125169754,0.0383400022983551,0.6487399935722351,-0.6447300910949707,-0.009369933977723122,0.011629974469542503,0.0,0.0
1786166403.7086792,0.0123,-0.0121,0.1799,-0.1797,0.3094,-0.3102,1.1649,-0.2758,0.0347,-0.0298,4.643,-4.7009,7.8691,-7.87,1.0215,-1.0045,-0.040369998663663864,0.0392800010740757,0.5665000677108765,-0.5613099932670593,-0.14460991322994232,0.14709992706775665,0.0,0.0
1786166403.7142422,0.0125,-0.0122,0.2035,-0.2036,0.3492,-0.35,1.17,-0.2809,0.0384,-0.0331,4.7193,-4.7799,7.9495,-7.9529,1.0231,-1.006,-0.04134000092744827,0.03990999981760979,0.4880701005458832,-0.4817101061344147,-0.2720499634742737,0.2747898995876312,0.0,0.0
1786166403.719191,0.0127,-0.0124,0.2273,-0.2277,0.3889,-0.3898,1.175,-0.2858,0.0419,-0.0362,4.7479,-4.8111,7.9419,-7.9478,1.0119,-0.9949,-0.04228999838232994,0.04082000255584717,0.4138101041316986,-0.40629008412361145,-0.39038994908332825,0.39367997646331787,0.0,0.0
1786166403.7393868,0.0129,-0.0126,0.2509,-0.2517,0.4282,-0.4291,1.18,-0.2907,0.045,-0.039,4.7322,-4.7976,7.8527,-7.8611,0.9889,-0.972,-0.04320000112056732,0.04170000180602074,0.3445800542831421,-0.3356400430202484,-0.4993699789047241,0.5029099583625793,0.0,0.0
1786166403.7443037,0.0132,-0.0128,0.2743,-0.2754,0.4667,-0.4676,1.1848,-0.2954,0.0477,-0.0414,4.6756,-4.743,7.689,-7.6996,0.9553,-0.9384,-0.04436999931931496,0.04253999888896942,0.28004005551338196,-0.27000004053115845,-0.5984998941421509,0.6022599339485168,0.0,0.0
1786166403.750145,0.0134,-0.013,0.2973,-0.2987,0.504,-0.505,1.1893,-0.2999,0.05,-0.0433,4.5821,-4.6511,7.4587,-7.471,0.9123,-0.8955,-0.04519999772310257,0.04332999885082245,0.22039005160331726,-0.2092900425195694,-0.6873699426651001,0.6915999054908752,0.0,0.0
1786166403.7555258,0.0137,-0.0133,0.3196,-0.3213,0.5399,-0.541,1.1936,-0.3041,0.0517,-0.0447,4.4558,-4.5258,7.1697,-7.1832,0.861,-0.8443,-0.04627000167965889,0.04436999931931496,0.16612011194229126,-0.1540200561285019,-0.7661699652671814,0.7708199620246887,0.0,0.0
1786166403.7752879,0.0139,-0.0135,0.3411,-0.3432,0.5741,-0.5752,1.1977,-0.3081,0.0527,-0.0455,4.3005,-4.3711,6.8298,-6.8441,0.8028,-0.7861,-0.04696999862790108,0.0450500026345253,0.11715006083250046,-0.10379008948802948,-0.8347799777984619,0.8395099639892578,0.0,0.0
