time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_torque,hip_R_Joint_torque,thigh_L_Joint_torque,thigh_R_Joint_torque,knee_L_Joint_torque,knee_R_Joint_torque,wheel_L_Joint_torque,wheel_R_Joint_torque
1786167011.3262317,0.0111,-0.0111,-0.001,0.0039,-0.0017,0.0004,1.1236,-0.2356,-0.0002,-0.0002,0.006,-0.0291,0.0,-0.0002,0.0005,0.0058,-0.03328000009059906,0.033319998532533646,1.5729000568389893,-1.5792900323867798,1.575600028038025,-1.5716800689697266,0.0,0.0
1786167011.3274932,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2355,-0.0002,-0.0002,0.0061,-0.0297,0.0,-0.0002,0.0006,0.0059,-0.03328000009059906,0.033319998532533646,1.572890043258667,-1.5789300203323364,1.575600028038025,-1.5716800689697266,0.0,0.0
1786167011.328453,0.0111,-0.0111,-0.001,0.0037,-0.0017,0.0004,1.1236,-0.2355,-0.0002,-0.0002,0.0062,-0.0301,0.0,-0.0002,0.0006,0.006,-0.03328000009059906,0.033319998532533646,1.5728800296783447,-1.5785901546478271,1.575600028038025,-1.5716800689697266,0.0,0.0
1786167011.329583,0.0111,-0.0111,0.0018,0.0008,0.0031,-0.0044,1.1243,-0.2361,0.0,0.0,0.5552,-0.5793,0.9689,-0.9672,0.1307,-0.1235,-0.033299997448921204,0.033299997448921204,1.509580135345459,-1.514970064163208,1.4643101692199707,-1.4605799913406372,0.0,0.0
1786167011.407714,0.0111,-0.0111,0.0073,-0.0049,0.0128,-0.0141,1.1256,-0.2374,0.0,0.0,1.1109,-1.1382,1.9355,-1.9332,0.2606,-0.2523,-0.033299997448921204,0.033299997448921204,1.4375100135803223,-1.4419801235198975,1.338550090789795,-1.334879994392395,0.0,0.0
1786167011.413248,0.0111,-0.0111,0.0157,-0.0134,0.0273,-0.0286,1.1275,-0.2393,0.0,0.0,1.6651,-1.6956,2.8995,-2.8966,0.3903,-0.3807,-0.033299997448921204,0.033299997448921204,1.356890082359314,-1.360740065574646,1.1986501216888428,-1.1950401067733765,0.0,0.0
1786167011.4187787,0.0111,-0.0111,0.0266,-0.0244,0.0463,-0.0476,1.1301,-0.2418,0.0,0.0,2.1847,-2.2183,3.8003,-3.797,0.5108,-0.5001,-0.033299997448921204,0.033299997448921204,1.2722300291061401,-1.2754700183868408,1.0515700578689575,-1.0480000972747803,0.0,0.0
1786167011.443037,0.0111,-0.0111,0.0399,-0.0379,0.0694,-0.0707,1.1332,-0.2448,0.0,0.0,2.6647,-2.7012,4.6281,-4.6244,0.6209,-0.6092,-0.033299997448921204,0.033299997448921204,1.1843301057815552,-1.1866800785064697,0.8994900584220886,-0.8959600925445557,0.0,0.0
1786167011.4480937,0.0111,-0.0111,0.0554,-0.0536,0.0963,-0.0975,1.1368,-0.2484,0.0,0.0,3.0996,-3.139,5.3734,-5.3695,0.7191,-0.7065,-0.033299997448921204,0.033299997448921204,1.0943400859832764,-1.0958000421524048,0.7442600131034851,-0.7410500645637512,0.0,0.0
1786167011.4541535,0.0111,-0.0111,0.0728,-0.0713,0.1264,-0.1277,1.1408,-0.2523,0.0,0.0,3.4865,-3.5286,6.03,-6.0261,0.8046,-0.791,-0.033299997448921204,0.033299997448921204,1.0034500360488892,-1.0037400722503662,0.5883000493049622,-0.584790050983429,0.0,0.0
1786167011.4593172,0.0111,-0.0111,0.092,-0.0906,0.1594,-0.1606,1.1452,-0.2566,0.0,0.0,3.8229,-3.8677,6.5932,-6.5896,0.8765,-0.8621,-0.033299997448921204,0.033299997448921204,0.9122100472450256,-0.9119300246238708,0.43298009037971497,-0.4297400414943695,0.0,0.0
1786167011.481554,0.0111,-0.0111,0.1125,-0.1114,0.1947,-0.1959,1.1499,-0.2612,0.0,0.0,4.107,-4.1546,7.0596,-7.0567,0.9343,-0.9193,-0.033299997448921204,0.033299997448921204,0.8223000764846802,-0.820840060710907,0.280440092086792,-0.2771300673484802,0.0,0.0
1786167011.4869988,0.0111,-0.0111,0.1342,-0.1333,0.2319,-0.2331,1.1548,-0.2661,0.0,0.0,4.3381,-4.3883,7.4275,-7.4255,0.9778,-0.9623,-0.033299997448921204,0.033299997448921204,0.7340900897979736,-0.7317700386047363,0.13205008208751678,-0.12865009903907776,0.0,0.0
1786167011.492362,0.0111,-0.0111,0.1568,-0.1562,0.2704,-0.2715,1.1598,-0.271,0.0,0.0,4.5162,-4.5691,7.6969,-7.6964,1.0069,-0.991,-0.033299997448921204,0.033299997448921204,0.6484800577163696,-0.644990086555481,-0.010389876551926136,0.01363991480320692,0.0,0.0
1786167011.5152733,0.0111,-0.0111,0.18,-0.1797,0.3097,-0.3109,1.1649,-0.276,0.0,0.0,4.6423,-4.6978,7.8697,-7.8709,1.0219,-1.0058,-0.033299997448921204,0.033299997448921204,0.5662700533866882,-0.5616199970245361,-0.14556995034217834,0.14928995072841644,0.0,0.0
1786167011.521315,0.0111,-0.0111,0.2036,-0.2036,0.3495,-0.3507,1.17,-0.2811,0.0,0.0,4.7182,-4.7762,7.9494,-7.9526,1.0234,-1.0071,-0.033299997448921204,0.033299997448921204,0.48788008093833923,-0.4820801317691803,-0.27293992042541504,0.27685990929603577,0.0,0.0
1786167011.526982,0.0111,-0.0111,0.2273,-0.2276,0.3892,-0.3905,1.1751,-0.2861,0.0,0.0,4.7465,-4.8069,7.9411,-7.9465,1.0121,-0.9958,-0.033299997448921204,0.033299997448921204,0.413950115442276,-0.40701013803482056,-0.3912099301815033,0.3956499397754669,0.0,0.0
1786167011.5488503,0.0111,-0.0111,0.251,-0.2516,0.4285,-0.4298,1.18,-0.2909,0.0,0.0,4.7305,-4.793,7.8514,-7.8587,0.9891,-0.9727,-0.033299997448921204,0.033299997448921204,0.34445008635520935,-0.3364000618457794,-0.5001398921012878,0.5047699213027954,0.0,0.0
1786167011.5561652,0.0111,-0.0111,0.2744,-0.2753,0.467,-0.4683,1.1848,-0.2956,0.0,0.0,4.6736,-4.738,7.6872,-7.6964,0.9554,-0.939,-0.033299997448921204,0.033299997448921204,0.27994006872177124,-0.27080008387565613,-0.5992199778556824,0.6040399670600891,0.0,0.0
1786167011.5590546,0.0111,-0.0111,0.2973,-0.2985,0.5043,-0.5057,1.1894,-0.3001,0.0,0.0,4.58,-4.6458,7.4565,-7.467,0.9123,-0.8959,-0.033299997448921204,0.033299997448921204,0.22060005366802216,-0.21042005717754364,-0.6880499124526978,0.6932998895645142,0.0,0.0
1786167011.5642655,0.0111,-0.0111,0.3196,-0.3211,0.5402,-0.5416,1.1937,-0.3043,0.0,0.0,4.4535,-4.5203,7.1671,-7.1786,0.861,-0.8446,-0.033299997448921204,0.033299997448921204,0.16635014116764069,-0.15517009794712067,-0.76680988073349,0.7721598744392395,0.0,0.0
1786167011.5854585,0.0111,-0.0111,0.3411,-0.343,0.5743,-0.5758,1.1977,-0.3083,0.0,0.0,4.2981,-4.3654,6.827,-6.839,0.8027,-0.7864,-0.033299997448921204,0.033299997448921204,0.11739005148410797,-0.10496010631322861,-0.8350999355316162,0.8407999277114868,0.0,0.0
1786167011.5919,0.0111,-0.0111,0.3617,-0.3639,0.6066,-0.6081,1.2014,-0.3119,0.0,0.0,4.1175,-4.1849,6.4437,-6.4557,0.7387,-0.7223,-0.033299997448921204,0.033299997448921204,0.07365009933710098,-0.06031007692217827,-0.893669843673706,0.8993698954582214,0.0,0.0
1786167011.5970845,0.0111,-0.0111,0.3813,-0.3838,0.6367,-0.6383,1.2048,-0.3152,0.0,0.0,3.9155,-3.9825,6.0243,-6.0357,0.6701,-0.6536,-0.033299997448921204,0.033299997448921204,0.03505007550120354,-0.02085006795823574,-0.9420298337936401,0.947969913482666,0.0,0.0
1786167011.617398,0.0111,-0.0111,0.3997,-0.4027,0.6647,-0.6663,1.2078,-0.3181,0.0,0.0,3.6953,-3.7613,5.5755,-5.5857,0.5979,-0.5813,-0.033299997448921204,0.033299997448921204,0.0018701076041907072,0.01372995413839817,-0.9811498522758484,0.9869699478149414,0.0,0.0
1786167011.6240337,0.0111,-0.0111,0.4171,-0.4203,0.6902,-0.6919,1.2104,-0.3206,0.0,0.0,3.4599,-3.5246,5.1032,-5.1115,0.5229,-0.5062,-0.033299997448921204,0.033299997448921204,-0.02678995206952095,0.04285994917154312,-1.0104198455810547,1.0163499116897583,0.0,0.0
1786167011.628971,0.0111,-0.0111,0.4331,-0.4367,0.7133,-0.715,1.2126,-0.3228,0.0,0.0,3.2123,-3.275,4.6127,-4.6188,0.4461,-0.4293,-0.033299997448921204,0.033299997448921204,-0.05002988502383232,0.06709989160299301,-1.030669927597046,1.0363798141479492,0.0,0.0
1786167011.6497228,0.0111,-0.0111,0.4479,-0.4517,0.7338,-0.7356,1.2145,-0.3245,0.0,0.0,2.9547,-3.0152,4.1087,-4.112,0.368,-0.3511,-0.033299997448921204,0.033299997448921204,-0.06866991519927979,0.08611992001533508,-1.0417698621749878,1.0474998950958252,0.0,0.0
1786167011.6556852,0.0111,-0.0111,0.4614,-0.4655,0.7518,-0.7536,1.2159,-0.3259,0.0,0.0,2.6897,-2.7474,3.5955,-3.5958,0.2895,-0.2724,-0.033299997448921204,0.033299997448921204,-0.08266992121934891,0.10073991864919662,-1.0444499254226685,1.0498799085617065,0.0,0.0
1786167011.6611323,0.0111,-0.0111,0.4735,-0.4779,0.7672,-0.769,1.217,-0.3269,0.0,0.0,2.4192,-2.4739,3.077,-3.0739,0.2109,-0.1938,-0.033299997448921204,0.033299997448921204,-0.09191995859146118,0.11058992892503738,-1.0387998819351196,1.0438898801803589,0.0,0.0
1786167011.6673293,0.0111,-0.0111,0.4842,-0.4888,0.78,-0.7817,1.2177,-0.3275,0.0,0.0,2.1452,-2.1966,2.5566,-2.5498,0.1328,-0.1156,-0.033299997448921204,0.033299997448921204,-0.09661992639303207,0.1155598908662796,-1.0251598358154297,1.029579997062683,0.0,0.0
1786167011.6870933,0.0111,-0.0111,0.4935,-0.4984,0.7902,-0.7919,1.2179,-0.3277,0.0,0.0,1.8694,-1.9173,2.0372,-2.0267,0.0556,-0.0383,-0.033299997448921204,0.033299997448921204,-0.09693990647792816,0.11642993241548538,-1.0038199424743652,1.007869839668274,0.0,0.0
1786167011.6921544,0.0111,-0.0111,0.5015,-0.5066,0.7979,-0.7994,1.2178,-0.3275,0.0,0.0,1.5936,-1.6378,1.5217,-1.5074,-0.0204,0.0377,-0.033299997448921204,0.033299997448921204,-0.09335996210575104,0.1130799874663353,-0.9753699898719788,0.9784398674964905,0.0,0.0
1786167011.6980166,0.0111,-0.0111,0.5081,-0.5134,0.8029,-0.8044,1.2174,-0.3269,0.0,0.0,1.3193,-1.3597,1.0127,-0.9946,-0.0948,0.1122,-0.033299997448921204,0.033299997448921204,-0.08572985231876373,0.10566997528076172,-0.9394699931144714,0.9421600103378296,0.0,0.0
1786167011.7181451,0.0111,-0.0111,0.5133,-0.5188,0.8055,-0.8069,1.2165,-0.326,0.0,0.0,1.048,-1.0846,0.5124,-0.4907,-0.1674,0.1847,-0.033299997448921204,0.033299997448921204,-0.07419992983341217,0.09435997903347015,-0.8972398042678833,0.8992699980735779,0.0,0.0
1786167011.723099,0.0111,-0.0111,0.5172,-0.5229,0.8055,-0.8069,1.2153,-0.3247,0.0,0.0,0.7697,-0.8148,0.0,0.0,-0.2417,0.2548,-0.033299997448921204,0.033299997448921204,-0.058069903403520584,0.07967988401651382,-0.8459998369216919,0.8501999974250793,0.0,0.0
1786167011.7287753,0.0111,-0.0111,0.5197,-0.5257,0.8031,-0.8045,1.2138,-0.3231,0.0,0.0,0.5087,-0.55,-0.476,0.4792,-0.3099,0.3228,-0.033299997448921204,0.033299997448921204,-0.039469897747039795,0.061599843204021454,-0.7911999225616455,0.7950798869132996,0.0,0.0
1786167011.7500513,0.0111,-0.0111,0.521,-0.5271,0.7984,-0.7997,1.2119,-0.3212,0.0,0.0,0.2548,-0.2925,-0.9368,0.9428,-0.3755,0.3882,-0.033299997448921204,0.033299997448921204,-0.017980005592107773,0.04005000367760658,-0.7310198545455933,0.7343199849128723,0.0,0.0
1786167011.7553906,0.0111,-0.0111,0.521,-0.5273,0.7915,-0.7928,1.2097,-0.3189,0.0,0.0,0.0,-0.0435,-1.3907,1.3887,-0.4387,0.4507,-0.033299997448921204,0.033299997448921204,0.007499992847442627,0.015749923884868622,-0.6649298667907715,0.669029951095581,0.0,0.0
1786167011.7608147,0.0111,-0.0111,0.5198,-0.5264,0.7824,-0.7837,1.2072,-0.3164,0.0,0.0,-0.2348,0.1953,-1.8136,1.8149,-0.4984,0.5101,-0.033299997448921204,0.033299997448921204,0.0345800518989563,-0.0108299870043993,-0.5953399538993835,0.5991098880767822,0.0,0.0
1786167011.7668757,0.0111,-0.0111,0.5175,-0.5243,0.7713,-0.7726,1.2044,-0.3135,0.0,0.0,-0.4585,0.4228,-2.2149,2.2192,-0.5547,0.5662,-0.033299997448921204,0.033299997448921204,0.06385012716054916,-0.039880137890577316,-0.5219099521636963,0.5253798961639404,0.0,0.0
1786167011.7870252,0.0111,-0.0111,0.5142,-0.5211,0.7584,-0.7596,1.2014,-0.3104,0.0,0.0,-0.6695,0.6376,-2.5923,2.5996,-0.6075,0.6187,-0.033299997448921204,0.033299997448921204,0.09485016018152237,-0.07096011936664581,-0.44547000527381897,0.44833987951278687,0.0,0.0
1786167011.7926688,0.0111,-0.0111,0.5099,-0.5169,0.7437,-0.7449,1.1981,-0.3071,0.0,0.0,-0.8667,0.8387,-2.944,2.9541,-0.6565,0.6674,-0.033299997448921204,0.033299997448921204,0.12747015058994293,-0.10367006808519363,-0.3662000000476837,0.3687899112701416,0.0,0.0
1786167011.7979958,0.0111,-0.0111,0.5046,-0.5118,0.7273,-0.7285,1.1946,-0.3035,0.0,0.0,-1.0491,1.0246,-3.2681,3.2807,-0.7015,0.7121,-0.033299997448921204,0.033299997448921204,0.16161011159420013,-0.13756009936332703,-0.28458988666534424,0.2869299650192261,0.0,0.0
1786167011.817355,0.0111,-0.0111,0.4985,-0.5058,0.7095,-0.7106,1.1909,-0.2998,0.0,0.0,-1.2155,1.1943,-3.5628,3.5774,-0.7423,0.7524,-0.033299997448921204,0.033299997448921204,0.19655010104179382,-0.17253005504608154,-0.2017199695110321,0.2035599797964096,0.0,0.0
1786167011.8228343,0.0111,-0.0111,0.4917,-0.4991,0.6904,-0.6914,1.187,-0.2958,0.0,0.0,-1.3648,1.3467,-3.8261,3.8424,-0.7785,0.7882,-0.033299997448921204,0.033299997448921204,0.2318800985813141,-0.20787006616592407,-0.11808992922306061,0.11945988982915878,0.0,0.0
1786167011.8284795,0.0111,-0.0111,0.4842,-0.4917,0.6701,-0.671,1.183,-0.2917,0.0,0.0,-1.496,1.4807,-4.0562,4.0738,-0.8099,0.8191,-0.033299997448921204,0.033299997448921204,0.2675000727176666,-0.24347010254859924,-0.034179843962192535,0.035119928419589996,0.0,0.0
1786167011.8481524,0.0111,-0.0111,0.4762,-0.4837,0.6489,-0.6497,1.1788,-0.2875,0.0,0.0,-1.6082,1.5955,-4.2513,4.2699,-0.8363,0.845,-0.033299997448921204,0.033299997448921204,0.3027200400829315,-0.2789500653743744,0.04893014580011368,-0.04839010164141655,0.0,0.0
1786167011.8534856,0.0111,-0.0111,0.4677,-0.4752,0.6268,-0.6275,1.1745,-0.2832,0.0,0.0,-1.7005,1.6902,-4.41,4.4292,-0.8574,0.8656,-0.033299997448921204,0.033299997448921204,0.3374500572681427,-0.3139200806617737,0.13110005855560303,-0.13092009723186493,0.0,0.0
1786167011.859575,0.0111,-0.0111,0.4589,-0.4664,0.6042,-0.6048,1.1701,-0.2788,0.0,0.0,-1.7723,1.7641,-4.5309,4.5505,-0.8731,0.8807,-0.033299997448921204,0.033299997448921204,0.3710300624370575,-0.3477100729942322,0.2109900563955307,-0.21115010976791382,0.0,0.0
1786167011.8648968,0.0111,-0.0111,0.4498,-0.4573,0.5811,-0.5816,1.1657,-0.2743,0.0,0.0,-1.8232,1.8168,-4.6131,4.6327,-0.8831,0.8901,-0.033299997448921204,0.033299997448921204,0.40342003107070923,-0.3802800476551056,0.28851011395454407,-0.28897005319595337,0.0,0.0
1786167011.8845067,0.0111,-0.0111,0.4405,-0.4481,0.5579,-0.5583,1.1613,-0.2699,0.0,0.0,-1.8526,1.8479,-4.6557,4.675,-0.8874,0.8938,-0.033299997448921204,0.033299997448921204,0.4342601001262665,-0.4109900891780853,0.3623700737953186,-0.3631000518798828,0.0,0.0
1786167011.8911037,0.0111,-0.0111,0.4312,-0.4388,0.5346,-0.5349,1.1568,-0.2654,0.0,0.0,-1.8607,1.8574,-4.6585,4.6774,-0.8859,0.8917,-0.033299997448921204,0.033299997448921204,0.4629700779914856,-0.43984004855155945,0.4325500428676605,-0.4335400462150574,0.0,0.0
1786167011.8958437,0.0111,-0.0111,0.422,-0.4296,0.5115,-0.5117,1.1525,-0.261,0.0,0.0,-1.8473,1.8453,-4.6214,4.6397,-0.8785,0.8837,-0.033299997448921204,0.033299997448921204,0.48923009634017944,-0.4662300646305084,0.4981400668621063,-0.49937015771865845,0.0,0.0
1786167011.917993,0.0111,-0.0111,0.4129,-0.4206,0.4888,-0.4889,1.1481,-0.2566,0.0,0.0,-1.813,1.8122,-4.545,4.5627,-0.8654,0.87,-0.033299997448921204,0.033299997448921204,0.5131000876426697,-0.48992007970809937,0.558600127696991,-0.5600700378417969,0.0,0.0
1786167011.9207115,0.0111,-0.0111,0.4041,-0.4118,0.4666,-0.4667,1.1439,-0.2524,0.0,0.0,-1.7582,1.7585,-4.4303,4.4474,-0.8466,0.8506,-0.033299997448921204,0.033299997448921204,0.5340200662612915,-0.5109500885009766,0.6137300729751587,-0.6151401400566101,0.0,0.0
1786167011.9269257,0.0111,-0.0111,0.3957,-0.4034,0.4453,-0.4452,1.1398,-0.2483,0.0,0.0,-1.6839,1.6852,-4.2787,4.2952,-0.8223,0.8258,-0.033299997448921204,0.033299997448921204,0.5517900586128235,-0.5288200378417969,0.6624700427055359,-0.6644200682640076,0.0,0.0
1786167011.9467044,0.0111,-0.0111,0.3878,-0.3954,0.4248,-0.4247,1.1358,-0.2443,0.0,0.0,-1.5911,1.5935,-4.0923,4.1082,-0.7928,0.7958,-0.033299997448921204,0.033299997448921204,0.5662100315093994,-0.5436500906944275,0.7053300142288208,-0.7072200775146484,0.0,0.0
1786167011.9513204,0.0111,-0.0111,0.3804,-0.388,0.4055,-0.4053,1.132,-0.2405,0.0,0.0,-1.4811,1.4846,-3.8733,3.8888,-0.7584,0.761,-0.033299997448921204,0.033299997448921204,0.5774100422859192,-0.5549600124359131,0.741330087184906,-0.7434800863265991,0.0,0.0
1786167011.9572768,0.0111,-0.0111,0.3736,-0.3812,0.3873,-0.3871,1.1284,-0.2369,0.0,0.0,-1.3557,1.3602,-3.6248,3.6398,-0.7196,0.7217,-0.033299997448921204,0.033299997448921204,0.5852700471878052,-0.562920093536377,0.7710800170898438,-0.7731800675392151,0.0,0.0
1786167011.9625406,0.0111,-0.0111,0.3675,-0.3751,0.3706,-0.3703,1.1251,-0.2335,0.0,0.0,-1.2165,1.222,-3.3498,3.3645,-0.6768,0.6784,-0.033299997448921204,0.033299997448921204,0.58965003490448,-0.5674000978469849,0.7936801314353943,-0.7960500717163086,0.0,0.0
1786167011.981969,0.0111,-0.0111,0.3622,-0.3697,0.3553,-0.3549,1.1219,-0.2303,0.0,0.0,-1.0655,1.0719,-3.052,3.0664,-0.6305,0.6317,-0.033299997448921204,0.033299997448921204,0.5904501080513,-0.5685900449752808,0.8098000288009644,-0.8124400973320007,0.0,0.0
1786167011.9873865,0.0111,-0.0111,0.3577,-0.3652,0.3417,-0.3412,1.119,-0.2274,0.0,0.0,-0.9046,0.9121,-2.7348,2.7491,-0.5811,0.582,-0.033299997448921204,0.033299997448921204,0.587860107421875,-0.5661100149154663,0.8188801407814026,-0.8218100666999817,0.0,0.0
1786167011.9933176,0.0111,-0.0111,0.354,-0.3614,0.3297,-0.3291,1.1164,-0.2248,0.0,0.0,-0.736,0.7445,-2.4023,2.4166,-0.5294,0.5299,-0.033299997448921204,0.033299997448921204,0.5821000933647156,-0.5607500672340393,0.82163006067276,-0.8248600363731384,0.0,0.0
1786167012.013916,0.0111,-0.0111,0.3512,-0.3586,0.3194,-0.3187,1.114,-0.2224,0.0,0.0,-0.5618,0.5714,-2.0584,2.0727,-0.4758,0.476,-0.033299997448921204,0.033299997448921204,0.5730800628662109,-0.5518401265144348,0.8181400299072266,-0.8216701149940491,0.0,0.0
1786167012.0200164,0.0111,-0.0111,0.3493,-0.3566,0.3108,-0.3101,1.1119,-0.2203,0.0,0.0,-0.3843,0.3948,-1.7074,1.7215,-0.421,0.4208,-0.033299997448921204,0.033299997448921204,0.5610300898551941,-0.5401800870895386,0.8088400959968567,-0.8123500943183899,0.0,0.0
1786167012.0257308,0.0111,-0.0111,0.3482,-0.3555,0.3041,-0.3033,1.11,-0.2185,0.0,0.0,-0.2055,0.217,-1.353,1.367,-0.3655,0.365,-0.033299997448921204,0.033299997448921204,0.5464500784873962,-0.525700032711029,0.7935000658035278,-0.7973001003265381,0.0,0.0
1786167012.0455961,0.0111,-0.0111,0.3481,-0.3553,0.2991,-0.2983,1.1085,-0.2169,0.0,-0.0001,0.0,0.0022,-0.9856,0.9888,-0.3094,0.3084,-0.033299997448921204,0.033309999853372574,0.5262000560760498,-0.5048200488090515,0.7717600464820862,-0.7744801044464111,0.0,0.0
1786167012.0521069,0.0111,-0.0111,0.3489,-0.3561,0.296,-0.2951,1.1072,-0.2157,0.0,0.0,0.1582,-0.1522,-0.6353,0.6396,-0.2537,0.2518,-0.033299997448921204,0.033299997448921204,0.5079801082611084,-0.4869801104068756,0.7460300922393799,-0.7491600513458252,0.0,0.0
1786167012.0571532,0.0111,-0.0111,0.3506,-0.3577,0.2945,-0.2936,1.1062,-0.2147,0.0,0.0,0.3286,-0.3217,-0.2933,0.2973,-0.1995,0.1972,-0.033299997448921204,0.033299997448921204,0.4858400523662567,-0.4652301073074341,0.7163301110267639,-0.7194300889968872,0.0,0.0
1786167012.062782,0.0111,-0.0111,0.353,-0.3601,0.2945,-0.2936,1.1055,-0.2139,0.0,0.0,0.4739,-0.4679,0.0,0.0,-0.1527,0.1494,-0.033299997448921204,0.033299997448921204,0.4641101360321045,-0.44341006875038147,0.6870000958442688,-0.6897001266479492,0.0,0.0
1786167012.0823183,0.0111,-0.0111,0.3561,-0.3632,0.2961,-0.2952,1.105,-0.2134,0.0,0.0,0.6292,-0.622,0.3159,-0.3159,-0.1019,0.0983,-0.033299997448921204,0.033299997448921204,0.43928009271621704,-0.41870003938674927,0.650610089302063,-0.6533101201057434,0.0,0.0
1786167012.087606,0.0111,-0.0111,0.36,-0.367,0.2991,-0.2982,1.1047,-0.2132,0.0,0.0,0.7749,-0.7665,0.615,-0.615,-0.0534,0.0494,-0.033299997448921204,0.033299997448921204,0.41301003098487854,-0.39285004138946533,0.6117000579833984,-0.6144000291824341,0.0,0.0
1786167012.0932724,0.0111,-0.0111,0.3645,-0.3715,0.3036,-0.3027,1.1047,-0.2132,0.0,0.0,0.9108,-0.9012,0.8969,-0.8968,-0.0072,0.0028,-0.033299997448921204,0.033299997448921204,0.38592010736465454,-0.3658801317214966,0.5700100660324097,-0.5727200508117676,0.0,0.0
1786167012.1136613,0.0111,-0.0111,0.3697,-0.3766,0.3094,-0.3085,1.1048,-0.2134,0.0,0.0,1.0349,-1.0241,1.1579,-1.1577,0.0361,-0.0408,-0.033299997448921204,0.033299997448921204,0.35791003704071045,-0.33829009532928467,0.5265101194381714,-0.5292301177978516,0.0,0.0
1786167012.118667,0.0111,-0.0111,0.3754,-0.3823,0.3164,-0.3155,1.1052,-0.2138,0.0,0.0,1.1462,-1.1342,1.3962,-1.3961,0.0762,-0.0814,-0.033299997448921204,0.033299997448921204,0.32968005537986755,-0.31018009781837463,0.48168009519577026,-0.48439010977745056,0.0,0.0
1786167012.1237955,0.0111,-0.0111,0.3817,-0.3885,0.3245,-0.3235,1.1058,-0.2144,0.0,0.0,1.244,-1.2308,1.6102,-1.6103,0.113,-0.1186,-0.033299997448921204,0.033299997448921204,0.30100005865097046,-0.28192004561424255,0.43598008155822754,-0.43897005915641785,0.0,0.0
1786167012.1430721,0.0111,-0.0111,0.3883,-0.395,0.3334,-0.3325,1.1065,-0.2151,0.0,0.0,1.3276,-1.3132,1.7989,-1.7992,0.1463,-0.1524,-0.033299997448921204,0.033299997448921204,0.27284008264541626,-0.25418004393577576,0.39041003584861755,-0.3930800259113312,0.0,0.0
1786167012.1485388,0.0111,-0.0111,0.3953,-0.4019,0.3433,-0.3424,1.1074,-0.2161,0.0,0.0,1.3966,-1.3811,1.9615,-1.9622,0.1759,-0.1825,-0.033299997448921204,0.033299997448921204,0.24494007229804993,-0.22669008374214172,0.3444500267505646,-0.3470800220966339,0.0,0.0
1786167012.1549425,0.0111,-0.0111,0.4025,-0.4091,0.3537,-0.3528,1.1084,-0.2171,0.0,0.0,1.4507,-1.4342,2.0976,-2.0989,0.2018,-0.209,-0.033299997448921204,0.033299997448921204,0.21793006360530853,-0.19978007674217224,0.299640029668808,-0.3022100329399109,0.0,0.0
1786167012.1605823,0.0111,-0.0111,0.41,-0.4165,0.3648,-0.3639,1.1095,-0.2183,0.0,0.0,1.4901,-1.4725,2.2071,-2.2091,0.2241,-0.2317,-0.033299997448921204,0.033299997448921204,0.1914900839328766,-0.17375007271766663,0.25539007782936096,-0.2578900456428528,0.0,0.0
1786167012.1804154,0.0111,-0.0111,0.4176,-0.424,0.3762,-0.3754,1.1107,-0.2195,0.0,0.0,1.5147,-1.4961,2.2902,-2.2929,0.2426,-0.2509,-0.033299997448921204,0.033299997448921204,0.16623005270957947,-0.14889009296894073,0.21288010478019714,-0.21501004695892334,0.0,0.0
1786167012.1885047,0.0111,-0.0111,0.4252,-0.4315,0.388,-0.3871,1.112,-0.2208,0.0,0.0,1.5249,-1.5052,2.3476,-2.3511,0.2575,-0.2664,-0.033299997448921204,0.033299997448921204,0.14241012930870056,-0.12548011541366577,0.17174004018306732,-0.17409004271030426,0.0,0.0
1786167012.1908822,0.0111,-0.0111,0.4328,-0.439,0.3999,-0.399,1.1134,-0.2222,0.0,0.0,1.5211,-1.5003,2.3797,-2.3842,0.2689,-0.2784,-0.033299997448921204,0.033299997448921204,0.11999008804559708,-0.10347004234790802,0.13283011317253113,-0.13508009910583496,0.0,0.0
