time_sec,hip_L_Joint,hip_R_Joint,thigh_L_Joint,thigh_R_Joint,knee_L_Joint,knee_R_Joint,wheel_L_Joint,wheel_R_Joint
185.154995861,0.0003,-0.0004,0.9323,-0.9328,1.9059,-1.9059,0.9355,-0.9864
185.159995861,0.0003,-0.0004,0.932,-0.9325,1.9059,-1.9059,0.9366,-0.9875
185.164995861,0.0003,-0.0004,0.9317,-0.9322,1.9059,-1.9059,0.9381,-0.989
185.169995861,0.0003,-0.0004,0.9312,-0.9317,1.9059,-1.9059,0.9399,-0.9909
185.174995861,0.0003,-0.0004,0.9307,-0.9312,1.9059,-1.9059,0.9421,-0.9932
185.17999586,0.0003,-0.0004,0.9301,-0.9305,1.9059,-1.9059,0.9448,-0.9959
185.18499586,0.0003,-0.0004,0.9294,-0.9298,1.9059,-1.9059,0.9478,-0.999
185.18999586,0.0003,-0.0004,0.9286,-0.929,1.9059,-1.9059,0.9512,-1.0024
185.19499586,0.0003,-0.0004,0.9276,-0.928,1.9058,-1.9059,0.955,-1.0063
185.19999586,0.0003,-0.0004,0.9267,-0.927,1.9058,-1.9059,0.9592,-1.0106
185.20499586,0.0003,-0.0004,0.9256,-0.9259,1.9058,-1.9059,0.9637,-1.0153
185.20999586,0.0003,-0.0004,0.9244,-0.9247,1.9058,-1.9058,0.9687,-1.0203
185.21499586,0.0003,-0.0004,0.9231,-0.9234,1.9058,-1.9058,0.974,-1.0258
185.21999586,0.0003,-0.0004,0.9217,-0.922,1.9057,-1.9058,0.9798,-1.0316
185.224995859,0.0003,-0.0004,0.9203,-0.9205,1.9057,-1.9058,0.9859,-1.0379
185.229995859,0.0003,-0.0004,0.9187,-0.9189,1.9057,-1.9057,0.9924,-1.0445
185.234995859,0.0003,-0.0004,0.917,-0.9172,1.9056,-1.9057,0.9993,-1.0516
185.239995859,0.0003,-0.0004,0.9153,-0.9154,1.9056,-1.9056,1.0066,-1.059
185.244995859,0.0003,-0.0004,0.9134,-0.9135,1.9055,-1.9056,1.0143,-1.0668
185.249995859,0.0003,-0.0004,0.9115,-0.9116,1.9055,-1.9055,1.0223,-1.075
185.254995859,0.0003,-0.0004,0.9095,-0.9095,1.9054,-1.9054,1.0308,-1.0837
185.259995859,0.0003,-0.0004,0.9073,-0.9073,1.9053,-1.9054,1.0396,-1.0927
185.264995859,0.0003,-0.0004,0.9051,-0.905,1.9052,-1.9053,1.0488,-1.1021
185.269995858,0.0003,-0.0004,0.9028,-0.9026,1.9051,-1.9052,1.0584,-1.1119
185.274995858,0.0003,-0.0004,0.9003,-0.9002,1.905,-1.9051,1.0684,-1.122
185.279995858,0.0003,-0.0004,0.8978,-0.8976,1.9049,-1.9049,1.0788,-1.1326
185.284995858,0.0003,-0.0004,0.8952,-0.8949,1.9047,-1.9048,1.0895,-1.1436
185.289995858,0.0003,-0.0004,0.8924,-0.8921,1.9046,-1.9046,1.1007,-1.1549
185.294995858,0.0003,-0.0004,0.8896,-0.8893,1.9044,-1.9044,1.1122,-1.1667
185.299995858,0.0003,-0.0004,0.8867,-0.8863,1.9042,-1.9042,1.1241,-1.1788
185.304995858,0.0003,-0.0004,0.8837,-0.8832,1.904,-1.904,1.1364,-1.1913
185.309995857,0.0003,-0.0004,0.8805,-0.88,1.9038,-1.9038,1.1491,-1.2043
185.314995857,0.0003,-0.0004,0.8773,-0.8767,1.9036,-1.9035,1.1621,-1.2176
185.319995857,0.0003,-0.0004,0.874,-0.8733,1.9033,-1.9033,1.1756,-1.2312
185.324995857,0.0003,-0.0004,0.8705,-0.8698,1.903,-1.903,1.1894,-1.2453
185.329995857,0.0003,-0.0004,0.867,-0.8662,1.9027,-1.9026,1.2036,-1.2598
185.334995857,0.0003,-0.0004,0.8634,-0.8625,1.9023,-1.9023,1.2181,-1.2746
185.339995857,0.0003,-0.0004,0.8596,-0.8587,1.902,-1.9019,1.2331,-1.2899
185.344995857,0.0003,-0.0004,0.8558,-0.8547,1.9016,-1.9015,1.2484,-1.3055
185.349995857,0.0003,-0.0004,0.8518,-0.8507,1.9011,-1.9011,1.2641,-1.3215
185.354995856,0.0003,-0.0004,0.8477,-0.8466,1.9007,-1.9006,1.2802,-1.3378
185.359995856,0.0003,-0.0004,0.8436,-0.8423,1.9002,-1.9001,1.2966,-1.3546
185.364995856,0.0003,-0.0004,0.8393,-0.838,1.8997,-1.8995,1.3135,-1.3717
185.369995856,0.0003,-0.0004,0.8349,-0.8335,1.8991,-1.8989,1.3306,-1.3892
185.374995856,0.0003,-0.0004,0.8304,-0.8289,1.8985,-1.8983,1.3482,-1.4071
185.379995856,0.0003,-0.0004,0.8258,-0.8242,1.8979,-1.8977,1.3661,-1.4254
185.384995856,0.0003,-0.0004,0.8211,-0.8194,1.8972,-1.897,1.3844,-1.444
185.389995856,0.0003,-0.0004,0.8163,-0.8145,1.8965,-1.8962,1.4031,-1.4631
185.394995856,0.0003,-0.0004,0.8114,-0.8095,1.8957,-1.8954,1.4221,-1.4824
185.399995855,0.0003,-0.0004,0.8064,-0.8044,1.8949,-1.8946,1.4415,-1.5022
185.404995855,0.0003,-0.0004,0.8013,-0.7992,1.894,-1.8937,1.4613,-1.5223
185.409995855,0.0003,-0.0004,0.796,-0.7938,1.8931,-1.8927,1.4814,-1.5428
185.414995855,0.0003,-0.0004,0.7906,-0.7883,1.8921,-1.8917,1.5019,-1.5636
185.419995855,0.0003,-0.0004,0.7852,-0.7828,1.8911,-1.8907,1.5227,-1.5849
185.424995855,0.0003,-0.0004,0.7796,-0.7771,1.89,-1.8896,1.5439,-1.6064
185.429995855,0.0003,-0.0004,0.7739,-0.7713,1.8889,-1.8884,1.5654,-1.6284
185.434995855,0.0003,-0.0004,0.7681,-0.7654,1.8877,-1.8872,1.5873,-1.6507
185.439995855,0.0003,-0.0004,0.7622,-0.7593,1.8865,-1.8859,1.6095,-1.6733
185.444995854,0.0003,-0.0004,0.7562,-0.7532,1.8851,-1.8845,1.6321,-1.6963
185.449995854,0.0003,-0.0004,0.75,-0.7469,1.8838,-1.8831,1.6551,-1.7197
185.454995854,0.0003,-0.0004,0.7438,-0.7406,1.8823,-1.8816,1.6783,-1.7433
185.459995854,0.0003,-0.0004,0.7374,-0.7341,1.8808,-1.88,1.702,-1.7674
185.464995854,0.0003,-0.0004,0.731,-0.7275,1.8792,-1.8783,1.7259,-1.7918
185.469995854,0.0003,-0.0004,0.7244,-0.7208,1.8775,-1.8766,1.7502,-1.8165
185.474995854,0.0003,-0.0004,0.7177,-0.7139,1.8758,-1.8748,1.7748,-1.8416
185.479995854,0.0003,-0.0004,0.7109,-0.707,1.8739,-1.8729,1.7998,-1.867
185.484995854,0.0003,-0.0004,0.704,-0.6999,1.872,-1.8709,1.8251,-1.8927
185.489995853,0.0003,-0.0004,0.6969,-0.6928,1.8701,-1.8689,1.8507,-1.9188
185.494995853,0.0003,-0.0004,0.6898,-0.6855,1.868,-1.8667,1.8766,-1.9452
185.499995853,0.0003,-0.0004,0.6825,-0.6781,1.8658,-1.8645,1.9028,-1.9719
185.504995853,0.0003,-0.0004,0.6752,-0.6706,1.8636,-1.8622,1.9294,-1.9989
185.509995853,0.0003,-0.0004,0.6677,-0.6629,1.8612,-1.8597,1.9563,-2.0263
185.514995853,0.0003,-0.0004,0.6601,-0.6552,1.8588,-1.8572,1.9834,-2.0539
185.519995853,0.0003,-0.0004,0.6524,-0.6474,1.8562,-1.8546,2.0109,-2.0819
185.524995853,0.0003,-0.0004,0.6446,-0.6394,1.8536,-1.8519,2.0387,-2.1102
185.529995853,0.0003,-0.0004,0.6367,-0.6313,1.8509,-1.849,2.0668,-2.1387
185.534995852,0.0003,-0.0004,0.6287,-0.6231,1.848,-1.8461,2.0952,-2.1676
185.539995852,0.0003,-0.0004,0.6205,-0.6148,1.8451,-1.843,2.1238,-2.1968
185.544995852,0.0003,-0.0004,0.6123,-0.6064,1.842,-1.8399,2.1528,-2.2262
185.549995852,0.0003,-0.0004,0.6039,-0.5979,1.8389,-1.8366,2.182,-2.2559
185.554995852,0.0003,-0.0004,0.5955,-0.5893,1.8356,-1.8332,2.2115,-2.286
185.559995852,0.0003,-0.0004,0.5869,-0.5806,1.8322,-1.8297,2.2413,-2.3162
185.564995852,0.0003,-0.0004,0.5783,-0.5718,1.8287,-1.826,2.2713,-2.3468
185.569995852,0.0003,-0.0004,0.5695,-0.5628,1.8251,-1.8223,2.3016,-2.3776
185.574995852,0.0003,-0.0004,0.5606,-0.5538,1.8213,-1.8184,2.3322,-2.4087
185.579995851,0.0003,-0.0004,0.5516,-0.5446,1.8174,-1.8144,2.363,-2.44
185.584995851,0.0003,-0.0004,0.5426,-0.5354,1.8134,-1.8102,2.3941,-2.4716
185.589995851,0.0003,-0.0004,0.5334,-0.526,1.8093,-1.8059,2.4254,-2.5035
185.594995851,0.0005,-0.0004,0.5245,-0.5236,1.8046,-1.8057,2.4568,-2.5341
185.599995851,0.0006,-0.0007,0.5236,-0.5236,1.8044,-1.8056,2.4867,-2.5639
185.604995851,0.0007,-0.0011,0.5236,-0.5236,1.8049,-1.8053,2.5161,-2.5934
185.609995851,0.001,-0.0014,0.5236,-0.5236,1.8054,-1.8052,2.5453,-2.6226
185.614995851,0.0013,-0.0017,0.5236,-0.5236,1.8062,-1.8053,2.5742,-2.6516
185.619995851,0.0017,-0.002,0.5236,-0.5236,1.807,-1.8055,2.6029,-2.6804
185.62499585,0.002,-0.0023,0.5246,-0.5245,1.8062,-1.8055,2.6311,-2.7064
185.62999585,0.0023,-0.0025,0.5253,-0.5252,1.8059,-1.8059,2.6563,-2.7303
185.63499585,0.0026,-0.0027,0.5256,-0.5254,1.8061,-1.806,2.6793,-2.7528
185.63999585,0.0028,-0.0029,0.5255,-0.5253,1.8061,-1.806,2.7007,-2.7737
185.64499585,0.003,-0.0029,0.5251,-0.5248,1.8059,-1.8057,2.7206,-2.7932
185.64999585,0.0031,-0.0029,0.5242,-0.5238,1.8055,-1.8053,2.739,-2.8112
185.65499585,0.0031,-0.0029,0.5236,-0.5236,1.8052,-1.8052,2.7561,-2.8282
185.65999585,0.0032,-0.0029,0.5236,-0.5236,1.8052,-1.8052,2.772,-2.8438
185.66499585,0.0032,-0.0028,0.5236,-0.5236,1.8052,-1.8052,2.7865,-2.8581
185.669995849,0.0032,-0.0027,0.5236,-0.5236,1.8052,-1.8052,2.7995,-2.8711
185.674995849,0.0031,-0.0026,0.5236,-0.5236,1.8052,-1.8051,2.8112,-2.8827
185.679995849,0.0031,-0.0024,0.5236,-0.5236,1.8052,-1.8051,2.8215,-2.893
185.684995849,0.003,-0.0023,0.5236,-0.5236,1.8052,-1.8051,2.8304,-2.9019
185.689995849,0.0029,-0.0021,0.5236,-0.5236,1.8052,-1.8051,2.8385,-2.9101
185.694995849,0.0028,-0.002,0.5236,-0.5236,1.8052,-1.8051,2.8429,-2.9145
